Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Shigellosis	71/246	3.887007e-09	7.676838e-08	0	0	2.431270e+00	4.708306e+01	ITGB1;UBE2D4;ARPC1B;PIK3CD;PIK3CB;ACTB;RPTOR;HK3;AKT2;AKT3;AKT1;SKP1;ACTR3;GABARAPL2;FNBP1;IL1R1;ACTN1;PRKCE;TRAF2;WIPI1;ACTN4;RHOA;RRAGC;IRF3;TRAF5;ELMO1;HCLS1;VDAC1;PIK3C3;ITGA5;PFN1;TLN1;UBA52;SQSTM1;DOCK1;NAIP;CD44;PPID;VCL;PXN;ITPR1;ITPR2;ITPR3;NOD1;NLRC4;GABARAP;FOXO1;MYL12B;CYTH2;MAPK8;CYTH4;CCL5;CD14;PLCG1;MAPK3;BNIP3;GLMN;ARPC4;ARPC5;MAPK14;PTK2;MAPK12;MTOR;MAPK13;MAPK11;ARPC2;ARPC3;TAB2;PLCD3;MYD88;BCL2L1
KEGG_2021_Human	Cellular senescence	51/156	6.652614e-09	1.236604e-07	0	0	2.902164e+00	5.464269e+01	TRAF3IP2;PIK3CD;PIK3CB;ETS1;AKT2;RASSF5;AKT3;AKT1;HRAS;LIN52;MAP2K1;HLA-B;HLA-C;HUS1;TSC1;HLA-F;HLA-E;CCNA2;RBL2;CCNA1;RBL1;CCNE2;MAPKAPK2;VDAC1;SQSTM1;PPID;ITPR1;ITPR2;ITPR3;FOXO1;ZFP36L1;CCNB2;CCNB1;E2F2;TRPM7;MAP2K6;MAPK3;NFATC2;NFATC1;HIPK1;MAPK14;MAPK12;MTOR;MAPK13;MAPK11;RAD50;CDK1;CALM3;RAD1;MCU;ATR
KEGG_2021_Human	Acute myeloid leukemia	29/67	1.119307e-08	1.965005e-07	0	0	4.542746e+00	8.316846e+01	CEBPA;ITGAM;SPI1;BCL2A1;FLT3;CEBPE;LEF1;TCF7;PIK3CD;PIK3CB;AKT2;AKT3;PIM1;AKT1;CD14;HRAS;MAPK3;STAT5B;TCF7L2;MAP2K1;BAD;MTOR;RUNX1;CCNA2;CCNA1;GRB2;SOS1;SOS2;PPARD
KEGG_2021_Human	Lysosome	44/128	1.301015e-08	2.163793e-07	0	0	3.125960e+00	5.675973e+01	SCARB2;CD63;ASAH1;IDUA;HEXB;AP4E1;CTSW;GNS;CTSS;CLN5;AP4M1;MFSD8;GGA2;LAPTM4B;AP3M1;CLN3;GNPTAB;NAGLU;AP1G2;CTSL;PSAP;AP1S2;AP1S1;ACP5;CTSH;IDS;AP3S2;AP3S1;CTSD;CTSC;CTSA;ABCA2;SLC11A1;SLC11A2;LAPTM5;CTNS;IGF2R;GALC;NPC2;PPT1;DNASE2;PPT2;ATP6V0D1;GLA
KEGG_2021_Human	Th1 and Th2 cell differentiation	35/92	2.089837e-08	3.274166e-07	0	0	3.658670e+00	6.469845e+01	NOTCH2;MAML2;GATA3;CD3E;RBPJ;CD3D;MAPK8;STAT4;PLCG1;JAK2;IL12RB1;JAK3;HLA-DPA1;JAK1;IL12RB2;MAPK3;STAT5B;HLA-DRB5;JAG1;IFNGR2;NFATC2;NFATC1;MAPK14;MAPK12;MAPK13;ZAP70;MAPK11;MAF;LCK;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;CD247;HLA-DRB1
KEGG_2021_Human	Phagosome	49/152	2.175870e-08	3.274166e-07	0	0	2.840834e+00	5.012155e+01	ITGB1;SCARB1;ITGAM;NCF1;NCF2;ITGB2;ACTB;CTSS;FCAR;SEC61A1;TUBB6;FCGR3A;FCGR3B;CTSL;SEC61G;OLR1;ITGAV;HLA-DPA1;DYNC2H1;ATP6V1G1;HLA-B;CYBB;HLA-C;TAP1;CYBA;HLA-F;TUBA4A;HLA-E;PIK3C3;ITGA5;ATP6V0D1;RAB7A;VAMP3;RAB5C;CORO1A;THBS4;THBS3;CLEC7A;CD14;ATP6V1C1;MSR1;DYNC1H1;HLA-DRB5;MARCO;FCGR2A;HLA-DPB1;HLA-DRA;RAB5A;HLA-DRB1
KEGG_2021_Human	Insulin signaling pathway	45/137	4.297853e-08	6.173279e-07	0	0	2.918656e+00	4.950789e+01	PYGB;SHC1;PDE3B;INPPL1;PIK3CD;IRS2;PIK3CB;PYGL;PRKCZ;ACACA;FOXO1;SOCS2;RPTOR;SOCS3;HK3;MAPK8;AKT2;MKNK1;AKT3;MKNK2;FLOT1;AKT1;PRKACA;PRKACB;HRAS;EIF4E;SOCS4;MAPK3;MAP2K1;PRKCI;BAD;INSR;TSC1;MTOR;G6PC3;PRKAR1B;PPP1R3E;FASN;RAPGEF1;TRIP10;CALM3;GRB2;SOS1;FBP1;SOS2
KEGG_2021_Human	Progesterone-mediated oocyte maturation	36/100	6.976112e-08	9.584572e-07	0	0	3.351399e+00	5.522498e+01	HSP90AB1;PDE3B;PIK3CD;ADCY3;PIK3CB;ADCY6;AURKA;GNAI2;CCNB2;CCNB1;MAPK8;AKT2;RPS6KA2;AKT3;AKT1;PRKACA;PRKACB;MAPK3;MAP2K1;HSP90AA1;ANAPC7;PLK1;MAPK14;MAPK12;MAPK13;CCNA2;CCNA1;MAPK11;CDC16;CDK1;ANAPC4;ANAPC5;ANAPC1;MAD1L1;ANAPC2;CPEB4
KEGG_2021_Human	NOD-like receptor signaling pathway	54/181	8.235076e-08	1.084285e-06	0	0	2.539960e+00	4.143254e+01	YWHAE;HSP90AB1;CXCL1;NAMPT;DNM1L;CAMP;JAK1;GABARAPL2;HSP90AA1;CYBB;CYBA;TRAF2;RHOA;IRF3;OAS2;TRAF5;VDAC1;CARD16;NAIP;ITPR1;ITPR2;ITPR3;NOD1;NLRC4;MEFV;GABARAP;TRPM2;MAPK8;DHX33;IFI16;CCL5;MFN2;TRPM7;TP53BP1;DEFA1B;GBP1;MAPK3;DEFA4;CARD9;DEFA3;DEFA1;MAPK14;MAPK12;MAPK13;P2RX7;MAPK11;MAVS;NLRP12;TAB2;PKN1;SUGT1;MCU;MYD88;BCL2L1
KEGG_2021_Human	B cell receptor signaling pathway	31/81	1.125252e-07	1.422318e-06	0	0	3.690569e+00	5.904943e+01	LILRA6;IFITM1;INPPL1;PIK3CD;PIK3CB;LILRA2;LILRA3;LILRA5;RASGRP3;CD79A;AKT2;INPP5D;AKT3;RAC2;AKT1;HRAS;MAPK3;VAV3;LYN;MAP2K1;SYK;PRKCB;NFATC2;LILRB1;NFATC1;LILRB2;LILRB3;LILRB4;GRB2;SOS1;SOS2
KEGG_2021_Human	Pathways in cancer	121/531	1.457600e-07	1.719746e-06	0	0	1.775411e+00	2.794729e+01	SPI1;CSF3R;ETS1;FRAT1;FRAT2;TFG;AKT2;RASSF5;AKT3;PIM1;AKT1;PRKACA;PRKACB;SKP1;MAP2K1;RALBP1;DAPK1;PRKCB;TPM3;DAPK2;DAPK3;RUNX1;EML4;CCNE2;MSH3;COL4A5;IL6ST;NOTCH2;TCF7;MGST2;RASGRP2;HIF1A;RASGRP1;FOXO1;RASGRP3;ABL1;DVL2;HMOX1;PLCG1;RALGDS;GSTM4;STAT5B;SMAD4;JAG1;FZD5;FN1;PTK2;CXCL12;LPAR6;GNB2;GNB1;CALM3;GRB2;IL7R;BCL2L1;FGFR1;ITGB1;HSP90AB1;FLT3;PIK3CD;PIK3CB;LAMC1;CASP3;RAC2;ITGAV;JAK2;JAK3;HRAS;JAK1;NCOA1;HSP90AA1;ARHGEF12;GSTO1;IFNGR2;MMP2;TRAF2;MMP9;RHOA;DDB2;CCNA2;CCNA1;TRAF4;IL3RA;TRAF5;BIRC5;SOS1;SOS2;PPARD;PTGER4;CEBPA;CAMK2D;RALA;PTGER2;LEF1;ADCY3;CXCR4;ADCY6;LRP6;GNAI2;RXRB;MAPK8;GNG2;GNG5;GNG7;GNA12;STAT4;CTNNA1;E2F2;BAK1;IL12RB1;IL12RB2;MAPK3;EGLN1;TCF7L2;BAD;LAMB2;MTOR;EPOR;IL2RA;IL2RB;CCDC6
KEGG_2021_Human	Viral carcinogenesis	58/203	1.469403e-07	1.719746e-06	0	0	2.390275e+00	3.760677e+01	YWHAE;ATF2;PIK3CD;CHD4;PIK3CB;RBPJ;CDC20;CASP3;CREB3L2;PRKACA;CCR5;PRKACB;HRAS;JAK3;YWHAG;JAK1;YWHAH;SYK;ACTN1;HLA-B;HLA-C;SCRIB;TRAF2;ACTN4;HLA-F;SND1;RHOA;HLA-E;CCNA2;RBL2;KAT2B;CCNA1;CREB3;KAT2A;PKM;RBL1;CCNE2;IRF3;MAPKAPK2;TRAF5;TBPL1;ATP6V0D1;IL6ST;MAD1L1;HDAC4;GTF2A2;PXN;HDAC8;HDAC9;HDAC6;BAK1;MAPK3;LYN;STAT5B;GSN;BAD;CDK1;GRB2
KEGG_2021_Human	Proteoglycans in cancer	58/205	2.120799e-07	2.365643e-06	0	0	2.357476e+00	3.622569e+01	ITGB1;PIK3CD;PIK3CB;ACTB;CTSL;PLAU;AKT2;CASP3;AKT3;AKT1;TIMP3;ITGAV;PRKACA;PRKACB;HRAS;VAV3;MAP2K1;ARHGEF12;PRKCB;MMP2;NUDT16L1;ANK1;HSPG2;MMP9;RHOA;TIAM1;HCLS1;ITGA5;EZR;SOS1;SOS2;CD44;CD63;CAMK2D;PXN;ITPR1;ITPR2;ITPR3;IQGAP1;HIF1A;PAK1;FLNA;DROSHA;FLNB;PLCG1;MAPK3;FZD5;RDX;FN1;MAPK14;PTK2;MAPK12;MTOR;MAPK13;MAPK11;GRB2;HPSE;FGFR1
KEGG_2021_Human	T cell receptor signaling pathway	36/104	2.171002e-07	2.365643e-06	0	0	3.153517e+00	4.838412e+01	ITK;PIK3CD;PIK3CB;CD3E;RASGRP1;CD3D;MAPK8;PAK1;AKT2;GRAP2;AKT3;AKT1;MAP3K8;PLCG1;MAP2K7;HRAS;MAPK3;PAK4;VAV3;MAP2K1;NFATC2;NFATC1;MAPK14;RHOA;MAPK12;MAPK13;ZAP70;MAPK11;TEC;CD8A;LCK;CD28;GRB2;CD247;SOS1;SOS2
KEGG_2021_Human	Fc epsilon RI signaling pathway	27/68	3.052245e-07	3.215031e-06	0	0	3.916560e+00	5.875708e+01	PIK3CD;PIK3CB;MAPK8;AKT2;INPP5D;AKT3;RAC2;AKT1;PLCG1;MAP2K7;HRAS;MAP2K6;MAPK3;VAV3;LYN;MAP2K1;FCER1G;SYK;PLA2G4A;MAPK14;MAPK12;MAPK13;MAPK11;ALOX5AP;GRB2;SOS1;SOS2
KEGG_2021_Human	Growth hormone synthesis, secretion and action	39/119	3.562931e-07	3.631891e-06	0	0	2.904865e+00	4.313002e+01	ATF2;SHC1;ITPR1;ITPR2;PIK3CD;ADCY3;IRS2;ITPR3;PIK3CB;ADCY6;GNAI2;SOCS2;SOCS3;MAPK8;AKT2;AKT3;CREB3L2;AKT1;PLCG1;PRKACA;JAK2;JUNB;PRKACB;HRAS;MAP2K6;MAPK3;STAT5B;MAP2K1;PRKCB;MAPK14;PTK2;MAPK12;MTOR;MAPK13;CREB3;MAPK11;GRB2;SOS1;SOS2
KEGG_2021_Human	Platelet activation	40/124	4.064249e-07	4.013446e-06	0	0	2.837802e+00	4.176071e+01	ITGB1;ITPR1;ITPR2;PIK3CD;ADCY3;ITPR3;PIK3CB;RASGRP2;PRKCZ;RASGRP1;ACTB;PIK3R6;ADCY6;MYL12B;GNAI2;RAP1A;AKT2;AKT3;AKT1;PRKACA;PRKACB;MAPK3;LYN;VASP;PRKCI;ARHGEF12;FCER1G;SYK;VWF;PLA2G4A;MAPK14;RHOA;MAPK12;MAPK13;MAPK11;FCGR2A;STIM1;TBXAS1;ORAI1;TLN1
KEGG_2021_Human	AMPK signaling pathway	39/120	4.547459e-07	4.354537e-06	0	0	2.868834e+00	4.189510e+01	PFKFB2;PFKFB4;PFKFB3;PIK3CD;IRS2;PIK3CB;ADIPOR1;ACACA;FOXO1;CAMKK2;RPTOR;EEF2K;PPP2R5E;PPP2R3C;AKT2;AKT3;CREB3L2;LEPR;AKT1;MLYCD;RAB2A;CPT1A;STRADA;INSR;STRADB;SCD5;PPP2R5A;TSC1;PPP2R5D;PPP2R5C;MTOR;CCNA2;CCNA1;CREB3;TBC1D1;G6PC3;FASN;FBP1;PFKP
KEGG_2021_Human	MAPK signaling pathway	74/294	8.346158e-07	7.757017e-06	0	0	2.012461e+00	2.816699e+01	ATF2;CSF1;FLT3;IL1RAP;ARRB2;ECSIT;AREG;DUSP16;ELK4;DUSP10;AKT2;RPS6KA2;CASP3;AKT3;RAC2;AKT1;MAP3K8;PRKACA;MAP3K6;PRKACB;HRAS;MAP3K5;MAP4K1;MAP2K1;DUSP3;IL1R1;PRKCB;PLA2G4A;TRAF2;CACNA2D4;PPM1A;CACNB3;MAPKAPK2;RAPGEF2;MAPKAPK5;SOS1;SOS2;NLK;RASGRP2;RASGRP1;RASGRP3;PAK1;MAPK8;RAP1A;MAPK7;PDGFD;MKNK1;GNA12;MKNK2;FLNA;FLNB;CD14;MAP2K7;MAP4K3;MAP2K5;MAP4K4;MAP2K6;MAPK3;MAP3K3;HSPA8;INSR;NFATC1;MAPK14;MAPK12;MAPK13;NR4A1;MAPK11;TAOK3;NF1;GRB2;TAB2;HSPA1B;MYD88;FGFR1
KEGG_2021_Human	Regulation of actin cytoskeleton	59/218	8.601359e-07	7.765799e-06	0	0	2.216344e+00	3.095385e+01	ITGB1;CYFIP1;ITGAM;ARPC1B;ITGB2;PIK3CD;ITGAE;PIK3CB;ITGAL;ACTB;TMSB4X;CFL1;RAC2;ITGAX;PIP4K2B;ITGAV;HRAS;GIT1;VAV3;ACTR3;MAP2K1;ARHGEF12;ACTN1;ACTN4;RHOA;TIAM1;MYH9;ITGA5;EZR;PFN1;SOS1;DOCK1;SOS2;VCL;PXN;CXCR4;IQGAP1;MYL12B;PAK1;PDGFD;GNA12;PIP5K1B;PAK4;MAPK3;GSN;LIMK2;RDX;LIMK1;FN1;ARPC4;ARPC5;BAIAP2;SSH3;PTK2;CXCL12;ABI2;ARPC2;ARPC3;FGFR1
KEGG_2021_Human	Neurotrophin signaling pathway	38/119	1.041162e-06	9.139086e-06	0	0	2.794296e+00	3.849192e+01	YWHAE;CAMK2D;MAGED1;SHC1;PIK3CD;PIK3CB;MAPK8;RAP1A;MAPK7;IRAK2;AKT2;RPS6KA2;AKT3;ARHGDIB;ABL1;AKT1;PLCG1;MAP2K7;HRAS;MAP2K5;MAP3K5;MAPK3;SH2B1;MAP3K3;MAP2K1;BAD;MAPK14;RHOA;MAPK12;MAPK13;MAPK11;CAMK4;MAPKAPK2;RAPGEF1;CALM3;GRB2;SOS1;SOS2
