Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2019_Human	Integrin-mediated Cell Adhesion WP185	37/101	2.708751e-08	1.102344e-06	0	0	3.445698e+00	6.003850e+01	ITGB1;ITGAM;SHC1;PXN;ITGB2;ITGAE;ITGAL;PAK1;RAP1A;MAPK7;CAPN7;AKT2;AKT3;ITGAX;RAC2;AKT1;ITGAV;CSK;HRAS;MAP2K5;MAP2K6;PAK4;VASP;VAV3;MAP2K1;PTK2;MAPK12;CAPN11;CAPN10;RAPGEF1;ZYX;GRB2;ITGA5;TLN1;SOS1;DOCK1;VCL
WikiPathways_2019_Human	Pyrimidine metabolism WP4022	33/85	2.939583e-08	1.102344e-06	0	0	3.779763e+00	6.555021e+01	CDA;NT5C;POLD4;POLR2A;POLD2;NT5M;POLR2H;POLR2I;POLR2K;ENTPD1;RRM2;CAD;NME3;CTPS2;NME1;UCKL1;DHODH;DCTD;POLE4;UCK2;POLR3A;UCK1;POLR3B;NME7;POLR1A;POLR1B;POLR3D;POLR1C;POLR3E;POLR1D;CMPK1;UMPS;DCTPP1
WikiPathways_2019_Human	T-Cell antigen Receptor (TCR)  Signaling Pathway WP69	34/90	4.060598e-08	1.405591e-06	0	0	3.616552e+00	6.155136e+01	ITK;ATF2;SHC1;ITPR1;GATA3;CD3E;CD3D;PAK1;MAPK8;GRAP2;AKT1;PTK2B;MAP3K8;PLCG1;CCR5;HRAS;MAPK3;VAV3;MAP4K1;MAP2K1;DBNL;NFATC2;NFATC1;MAPK14;ZAP70;IRF4;LCK;CD8A;CD28;GRB2;VIM;CD247;SOS1;SKAP1
WikiPathways_2019_Human	Ras Signaling WP4223	55/184	5.839350e-08	1.876934e-06	0	0	2.547484e+00	4.243106e+01	FLT3;PIK3CD;PIK3CB;ETS1;ETS2;SYNGAP1;AKT2;RASSF5;AKT3;RAC2;AKT1;PRKACA;PRKACB;HRAS;RALBP1;MAP2K1;PLA2G12A;PRKCB;PLA2G4A;RHOA;TIAM1;ZAP70;SOS1;SOS2;RALA;RAB5C;SHC1;PLA2G6;RASGRP2;RASGRP1;RASGRP3;PAK1;MAPK8;RAP1A;GNG2;GNG5;GNG7;ABL1;ABL2;SHOC2;PLCG1;RALGDS;PAK4;MAPK3;BRAP;BAD;INSR;GNB2;GNB1;NF1;CALM3;GRB2;RAB5A;BCL2L1;FGFR1
WikiPathways_2019_Human	Leptin signaling pathway WP2034	30/76	7.973959e-08	2.392188e-06	0	0	3.881641e+00	6.344348e+01	IL1RN;SHC1;PDE3B;FOXO1;ACACA;SOCS2;SOCS3;MAPK8;LEPR;AKT1;PLCG1;JAK2;HRAS;EIF4E;SOCS7;JAK1;SH2B1;MAPK3;NCOA1;STAT5B;MAP2K1;CISH;BAD;MAPK14;RHOA;MTOR;PTK2;GRB2;SOS1;BCL2L1
WikiPathways_2019_Human	Myometrial Relaxation and Contraction Pathways WP289	48/156	1.512638e-07	4.254295e-06	0	0	2.652310e+00	4.165251e+01	YWHAE;ATF2;CAMK2D;CRCP;RGS19;RGS14;ITPR1;ITPR2;ATP2A2;ADCY3;ITPR3;ADM;ARRB2;RXFP1;PRKCZ;ACTB;ETS2;ADCY6;CNN2;RGS2;GNG2;GRK5;GNG5;GRK4;GNG7;GRK6;PDE4B;PLCG1;PRKACA;PRKACB;YWHAG;YWHAH;PRKCB;GSTO1;PRKCE;IGFBP2;DGKZ;ACTA2;CREB3;CACNB3;PRKAR1B;GNB2;GNB1;RGS10;CALM3;PKIG;RAMP1;ATF3
WikiPathways_2019_Human	Oncostatin M Signaling Pathway WP2374	26/65	4.241512e-07	1.122753e-05	0	0	3.963995e+00	5.816440e+01	CEBPB;SHC1;PXN;HIF1A;SOCS3;MAPK8;CASP3;AKT1;TIMP3;PTK2B;JAK2;HRAS;JUNB;JAK3;JAK1;MAPK3;PIAS3;STAT5B;MAP2K1;PRKCB;PRKCE;MAPK14;MTOR;GRB2;IL6ST;SOS1
WikiPathways_2019_Human	Ebola Virus Pathway on Host WP4217	41/129	4.572917e-07	1.143229e-05	0	0	2.776851e+00	4.053631e+01	ITGB1;PIK3CD;IQGAP1;PIK3CB;ACTB;SOCS3;PAK1;CTSL;C1QBP;AKT1;FLNA;ITGAV;FLNB;EPS15;KPNA1;VPS16;HAVCR2;HLA-DPA1;MAPK3;HLA-DRB5;GSN;ACTN1;HLA-B;HLA-C;ACTN4;HLA-F;RHOA;HLA-E;RHOB;TIAM1;ADAM17;IRF3;NPC2;PRKRA;HLA-DPB1;HLA-DRA;ITGA5;MFGE8;RAB5A;HLA-DRB1;RAB7A
WikiPathways_2019_Human	IL-4 Signaling Pathway WP395	23/54	5.163852e-07	1.223018e-05	0	0	4.409003e+00	6.382654e+01	ATF2;CEBPA;STAT5B;CEBPB;SHC1;BAD;PIK3CD;IRS2;GATA3;MAPK14;SOCS3;MAPK11;INPP5D;AKT1;BIRC5;FLNA;GRB2;JAK2;SOS1;JAK3;JAK1;SOCS5;MAPK3
WikiPathways_2019_Human	MAPK Signaling Pathway WP382	65/246	6.220798e-07	1.399680e-05	0	0	2.146705e+00	3.067683e+01	ATF2;LRRK2;ARRB2;ECSIT;DUSP16;ELK4;DUSP10;AKT2;CASP3;AKT3;RAC2;AKT1;MAP3K8;PRKACA;MAP3K6;PRKACB;HRAS;MAP3K5;MAP4K1;MAP2K1;DUSP3;IL1R1;PLA2G4A;TRAF2;CACNA2D4;PPM1A;CACNB3;MAPKAPK2;RAPGEF2;MAPKAPK5;SOS1;SOS2;NLK;RASGRP2;RASGRP1;RASGRP3;PAK1;MAPK8;RAP1A;MAPK7;MKNK1;MKNK2;GNA12;FLNA;FLNB;CD14;MAP2K7;MAP4K3;MAP2K5;MAP4K4;MAP2K6;MAPK3;HSPA8;NFATC1;MAPK14;MAPK12;MAPK13;NR4A1;MAPK11;TAOK3;NF1;GRB2;TAB2;HSPA1B;FGFR1
WikiPathways_2019_Human	Structural Pathway of Interleukin 1 (IL-1) WP2637	21/49	1.420306e-06	3.043512e-05	0	0	4.454609e+00	5.997970e+01	ATF2;MAP3K3;MAP2K1;IL1R1;IL1RAP;SAFB;MAPK14;MAPK11;MAPK8;IRAK2;MKNK1;TOLLIP;MAPKAPK2;MKNK2;MAP3K8;TAB2;MAP2K7;EIF4E;MYD88;MAPK3;MAP2K6
WikiPathways_2019_Human	TYROBP Causal Network WP3945	24/61	1.666620e-06	3.408995e-05	0	0	3.854626e+00	5.128470e+01	RBM47;ITGAM;IGSF6;NCF2;IL10RA;ITGB2;LOXL3;RNASE6;TNFRSF1B;PPP1R18;SAMSN1;CXCL16;TYROBP;SLC7A7;MAF;ADAP2;BIN2;ELF4;NPC2;CREB3L2;ITGAX;HCLS1;TMEM106A;C1QC
WikiPathways_2019_Human	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	74/303	2.788765e-06	5.456280e-05	0	0	1.932338e+00	2.471443e+01	ITGB1;ATF2;CSF3R;HSP90AB1;CSF1;ITGB2;PIK3CD;IRS2;SLC2A3;PIK3CB;ITGAE;LAMC1;PIK3C2A;ITGAL;PIK3C2B;RPTOR;PPP2R5E;AKT2;CREB3L2;AKT3;MLST8;ITGAX;AKT1;ITGAV;JAK2;HRAS;JAK3;JAK1;RAB2A;MAP2K1;HSP90AA1;VWF;STRADA;PPP2R5A;TSC1;PPP2R5D;PPP2R5C;CREB3;TBC1D1;DDIT4;IL3RA;ITGA5;SOS1;PFKFB2;PFKFB4;PFKFB3;HIF1A;ACACA;FOXO1;THBS4;THBS3;GNG2;GNG5;PPP2R3C;PDGFD;GNG7;EIF4E;MAPK3;BAD;LAMB2;INSR;FN1;PTK2;MTOR;EPOR;PIK3IP1;LPAR6;GNB2;IL2RA;GNB1;IL2RB;GRB2;IL7R;FGFR1
WikiPathways_2019_Human	IL-3 Signaling Pathway WP286	20/49	6.244558e-06	1.148760e-04	0	0	4.094528e+00	4.906800e+01	LYN;STAT5B;MAP2K1;SYK;SHC1;BAD;PIK3CD;MAPK8;INPP5D;IL3RA;RAPGEF1;AKT1;GRB2;PRKACA;JAK2;SOS1;HRAS;JAK1;MAPK3;BCL2L1
WikiPathways_2019_Human	TGF-beta Signaling Pathway WP366	39/132	6.381999e-06	1.148760e-04	0	0	2.496901e+00	2.986800e+01	ITGB1;ATF2;APP;SHC1;NEDD4L;NEDD9;ETS1;CCNB2;MAPK8;AKT1;JUNB;SKIL;SKP1;MAP2K6;NUP214;MEF2A;MAP4K1;MAP2K1;SMAD4;LIMK2;FN1;MAPK14;PTK2;RHOA;SMAD7;PJA1;TGFBR3;RBL2;SKI;PPM1A;EID2;DAB2;ZEB2;ZEB1;RBL1;CDK1;GRB2;SOS1;ATF3
WikiPathways_2019_Human	AGE/RAGE pathway WP2324	24/66	8.404773e-06	1.454672e-04	0	0	3.394747e+00	3.967343e+01	ATF2;MSR1;STAT5B;MAP2K1;NCF1;PRKCB;SHC1;MMP2;INSR;PLA2G4A;MAPK14;MMP9;PRKCZ;HIF1A;RHOA;FOXO1;LGALS3;MAPK8;CASP3;AKT1;JAK2;EZR;MYD88;MAPK3
WikiPathways_2019_Human	MET in type 1 papillary renal cell carcinoma WP4205	22/59	1.244298e-05	1.978083e-04	0	0	3.530948e+00	3.987978e+01	MAP2K1;BAD;PRCC;PIK3CD;PIK3CB;ETS1;PTK2;PAK1;MAPK8;RAP1A;AKT2;AKT3;RAPGEF1;AKT1;GRB2;PLCG1;SOS1;HRAS;JAK3;SOS2;PAK4;MAPK3
WikiPathways_2019_Human	IL-1 signaling pathway WP195	21/55	1.274765e-05	1.978083e-04	0	0	3.667212e+00	4.133008e+01	ATF2;MAP3K3;MAP2K1;IL1R1;PELI2;IL1RAP;ECSIT;MAPK14;PRKCZ;MAPK8;IRAK2;TOLLIP;MAPKAPK2;AKT1;TAB2;PLCG1;MAP2K7;SQSTM1;MYD88;MAPK3;MAP2K6
WikiPathways_2019_Human	RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	21/55	1.274765e-05	1.978083e-04	0	0	3.667212e+00	4.133008e+01	LYN;MAP2K1;SPI1;SYK;TRAF2;NFATC1;MAPK14;PAPSS2;MTOR;PTK2;MAPK8;AKT2;TRAF5;AKT1;ACP5;TAB2;PLCG1;MAP2K7;SQSTM1;MAPK3;MAP2K6
WikiPathways_2019_Human	Thermogenesis WP4321	33/108	1.480456e-05	2.220684e-04	0	0	2.617101e+00	2.910367e+01	ATF2;SMARCD1;SMARCB1;KDM1A;ADCY3;ACTB;ADCY6;RPTOR;SLC25A29;RPS6KA2;CREB3L2;PRDM16;MLST8;PRKACA;PRKACB;HRAS;MAP3K5;SMARCE1;CPT1A;ACSL1;TSC1;MAPK14;ARID1B;MAPK12;MTOR;SMARCA4;MAPK13;CREB3;MAPK11;GRB2;SOS1;SOS2;FGFR1
WikiPathways_2019_Human	Amino Acid metabolism WP3925	29/91	1.981762e-05	2.876752e-04	0	0	2.780348e+00	3.010822e+01	OAT;HNMT;ADH5;GLS;SRM;AUH;PDK4;HIBCH;MPST;GOT1;ARG1;GPT2;MARS2;GSS;IDH1;CAD;MCCC1;GSR;GOT2;ASNS;SDHA;FAH;CS;ACLY;LARS2;PKM;SMS;BCAT1;FARSB
WikiPathways_2019_Human	B Cell Receptor Signaling Pathway WP23	30/97	2.748328e-05	3.864836e-04	0	0	2.661726e+00	2.795327e+01	ATF2;SHC1;ETS1;FOXO1;RASGRP3;CD79A;MAPK8;INPP5D;RAC2;AKT1;PIP5K1B;PLCG1;HRAS;GTF2I;MAP2K6;LYN;MAP4K1;MAP2K1;SYK;PRKCB;NFATC2;MAPK14;TEC;BCL6;IRF4;LCK;RAPGEF1;HCLS1;GRB2;SOS1
WikiPathways_2019_Human	Signaling of Hepatocyte Growth Factor Receptor WP313	15/34	2.990577e-05	4.078059e-04	0	0	4.681763e+00	4.877207e+01	ITGB1;MAP4K1;MAP2K1;PXN;PTK2;PAK1;MAPK8;RAP1A;RAPGEF1;PTK2B;GRB2;SOS1;HRAS;DOCK1;MAPK3
WikiPathways_2019_Human	IL-2 Signaling Pathway WP49	17/42	3.498044e-05	4.629764e-04	0	0	4.033942e+00	4.139116e+01	STAT5B;MAP2K1;SYK;CISH;SHC1;SOCS3;LCK;IL2RA;IL2RB;AKT1;PTK2B;GRB2;SOS1;HRAS;JAK3;MAPK3;JAK1
WikiPathways_2019_Human	Pathways in clear cell renal cell carcinoma WP4018	27/85	4.032150e-05	5.184193e-04	0	0	2.765844e+00	2.798654e+01	GPI;KDM5C;SETD2;ENO2;SDSL;ENO3;HIF1A;ACACA;RPTOR;HK3;GRB10;MLST8;PGK1;AKT1;PHGDH;CEP290;PSPH;PBRM1;TSC1;MTOR;ACLY;ZEB1;PKM;FASN;CAMK1;SQSTM1;PFKP
WikiPathways_2019_Human	Eukaryotic Transcription Initiation WP405	17/43	5.008740e-05	6.260926e-04	0	0	3.878564e+00	3.840453e+01	GTF2A2;CCNH;CDK7;POLR2A;POLR3B;ERCC3;POLR1A;POLR3D;POLR1B;ERCC2;POLR3E;POLR1D;TAF7;TAF6;POLR2H;POLR2I;POLR2K
WikiPathways_2019_Human	ErbB Signaling Pathway WP673	28/91	5.561918e-05	6.716308e-04	0	0	2.640787e+00	2.587175e+01	CAMK2D;SHC1;PIK3CD;PIK3CB;AREG;FOXO1;PAK1;MAPK8;AKT2;AKT3;ABL1;AKT1;ABL2;PLCG1;MAP2K7;HRAS;PAK4;MAPK3;STAT5B;MAP2K1;PRKCB;BAD;MTOR;PTK2;NRG4;GRB2;SOS1;SOS2
WikiPathways_2019_Human	4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	10/18	5.707420e-05	6.716308e-04	0	0	7.404712e+00	7.235262e+01	MAP2K1;MKNK1;MKNK2;AKT1;TSC1;EIF4E;MTOR;MAPK3;MAP3K5;MAP2K6
WikiPathways_2019_Human	DNA Damage Response (only ATM dependent) WP710	32/110	5.820800e-05	6.716308e-04	0	0	2.438906e+00	2.378296e+01	SHC1;TCF7;LEF1;PIK3CD;PIK3CB;PIK3C2A;PIK3C2B;FRAT1;MAPK8;PLAU;PPP2R5E;AKT2;AKT3;ABL1;DVL2;RAC2;AKT1;BAK1;HRAS;TCF7L2;SMAD4;BAD;INSR;PPP2R5C;SOD2;RHOA;RBL2;BCL6;GRB2;PIK3C3;SOS1;SOS2
WikiPathways_2019_Human	White fat cell differentiation WP4149	14/32	6.164303e-05	6.815600e-04	0	0	4.611073e+00	4.470043e+01	CEBPA;STAT5B;CEBPB;CEBPD;NR1H3;RORA;GATA3;GATA2;KLF4;FOXO1;KLF2;IRF3;IRF4;CTNNA1
WikiPathways_2019_Human	Cell Cycle WP179	34/120	6.262903e-05	6.815600e-04	0	0	2.350820e+00	2.275190e+01	YWHAE;CDKN1C;CCNH;TTK;CDC20;ORC5;CCNB2;ORC4;CCNB1;ABL1;E2F2;YWHAG;SKP1;YWHAH;CDKN2D;SMAD4;CDKN2C;ANAPC7;PLK1;CCNA2;RBL2;CCNA1;CDK7;RBL1;CCNE2;TFDP2;CDC16;CDK1;ANAPC4;ANAPC5;MAD1L1;ANAPC1;ANAPC2;ATR
WikiPathways_2019_Human	AMP-activated Protein Kinase (AMPK) Signaling WP1403	23/69	6.361227e-05	6.815600e-04	0	0	2.968674e+00	2.868542e+01	CPT1A;PFKFB3;STRADA;STRADB;INSR;PIK3CD;TSC1;PIK3CB;ADIPOR1;ACACA;MTOR;CAMKK2;RPTOR;CCNA2;CCNA1;CCNB1;EEF2K;AKT2;FASN;LEPR;AKT1;PIK3C3;PRKACB
WikiPathways_2019_Human	Copper homeostasis WP3286	19/52	6.644001e-05	6.874598e-04	0	0	3.416322e+00	3.286232e+01	APP;PRNP;STEAP3;STEAP4;SLC11A2;ADAM10;COMMD1;FOXO1;ATOX1;BACE1;ADAM17;CCS;ATP7B;SCO1;CASP3;MTF1;AKT1;ADAM9;COX11
WikiPathways_2019_Human	Regulation of Actin Cytoskeleton WP51	40/150	6.721830e-05	6.874598e-04	0	0	2.163738e+00	2.078826e+01	PXN;PIK3CD;IQGAP1;PIK3CB;PIK3C2A;ACTB;PIK3C2B;PAK1;TMSB4X;CFL1;GNA12;RAC2;PIP4K2B;PIP5K1B;CSK;CD14;GIT1;PAK4;MAPK3;MAP2K1;GSN;ACTN1;RDX;LIMK1;RASSF7;FN1;ARPC5;BAIAP2;SSH3;PTK2;RHOA;ABI2;PIK3C3;PFN1;EZR;SOS1;SOS2;DOCK1;VCL;FGFR1
WikiPathways_2019_Human	Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	19/53	8.961532e-05	8.913294e-04	0	0	3.315647e+00	3.090178e+01	VAV3;APP;ANXA5;ETS1;PTK2;SMAD7;ERN1;NET1;SOCS3;CTNNA1;ABL1;AKT1;BIRC5;PTK2B;VIM;PKN1;IL7R;SQSTM1;TNFRSF21
WikiPathways_2019_Human	Non-small cell lung cancer WP4255	22/66	9.111368e-05	8.913294e-04	0	0	2.967989e+00	2.761240e+01	STAT5B;MAP2K1;PRKCB;BAD;PIK3CD;PIK3CB;DDB2;EML4;RXRB;AKT2;RASSF5;AKT3;AKT1;E2F2;GRB2;PLCG1;BAK1;SOS1;HRAS;JAK3;SOS2;MAPK3
WikiPathways_2019_Human	Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380	38/144	1.280463e-04	1.221036e-03	0	0	2.132128e+00	1.911052e+01	CYFIP1;NCF1;CRTC1;NCF2;SHC1;KCNA3;IRS2;MAPK8;RAP1A;MAPK7;CASP3;CFL1;AKT1;PTK2B;NCAM1;PLCG1;JAK2;HRAS;EIF4E;MAP2K5;SH2B1;MAPK3;MEF2A;VAV3;STAT5B;MAP2K1;BAD;RHOG;MAPK14;FRS3;MTOR;TIAM1;ADAM17;MARCKS;CAMK4;GRB2;CAMK1;SQSTM1
WikiPathways_2019_Human	Genotoxicity pathway WP4286	21/63	1.306060e-04	1.221036e-03	0	0	2.967304e+00	2.653757e+01	ARRDC4;AMER1;PTGER4;CEBPD;EI24;ITPR1;TRIAP1;FBXO22;SMAD5;TOPORS;DUSP14;DDB2;ACTA2;ITPKC;CENPE;MEX3B;TP53I3;ID2;RBM12B;RAPGEF2;DCP1B
WikiPathways_2019_Human	Primary Focal Segmental Glomerulosclerosis FSGS WP2572	23/72	1.329573e-04	1.221036e-03	0	0	2.786428e+00	2.487022e+01	SCARB2;ITGB1;CDKN1C;CR1;JAG1;LAMB2;KRT8;ACTN4;MKI67;DNM1;PTK2;LRP6;INF2;CTSL;WT1;AKT1;MYH9;COL4A5;ITGAV;PLCG1;VIM;TLN1;VCL
WikiPathways_2019_Human	Kit receptor signaling pathway WP304	20/59	1.443795e-04	1.299415e-03	0	0	3.042866e+00	2.690826e+01	LYN;STAT5B;MAP2K1;PRKCB;SHC1;BAD;MAPK14;MAPK8;TEC;INPP5D;GRB10;SNAI1;AKT1;GRB2;PLCG1;JAK2;SOS1;HRAS;JUNB;MAPK3
WikiPathways_2019_Human	RAC1/PAK1/p38/MMP2 Pathway WP3303	22/68	1.499091e-04	1.322727e-03	0	0	2.838613e+00	2.499536e+01	ITGB1;STAT5B;BAD;MMP2;TIE1;PXN;FN1;MAPK14;FOXO1;MAPK12;PTK2;MAPK13;MAPK11;PAK1;MAPK8;TNIP2;AKT1;BIRC5;GRB2;SOS1;HRAS;MAPK3
WikiPathways_2019_Human	Cardiac Hypertrophic Response WP2795	19/55	1.581987e-04	1.369027e-03	0	0	3.131078e+00	2.740213e+01	MEF2A;MAP4K1;HDAC4;MAP2K1;CAMK2D;NFATC2;MAPK14;HDAC9;MTOR;CDK9;MAPK8;CDK7;MAPK7;AKT2;AKT1;MAP2K7;MAP2K5;MAPK3;MAP2K6
WikiPathways_2019_Human	Intraflagellar transport proteins binding to dynein WP4532	12/27	1.723422e-04	1.463283e-03	0	0	4.740361e+00	4.108010e+01	DYNC2LI1;DYNC2H1;DYNC1H1;IFT140;IFT81;WDR19;IFT122;IFT27;IFT80;IFT46;WDR35;HSPB11
WikiPathways_2019_Human	Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203	17/47	1.833614e-04	1.528011e-03	0	0	3.360634e+00	2.891507e+01	LYN;STAT5B;MAP2K1;YES1;CISH;MAPK14;MTOR;MAPK8;TEC;LCK;IL2RA;STAT4;AKT1;JAK2;IL7R;MAPK3;JAK1
